dept,party,name,votes
Yoro,LIBRE,Ana Marlen Morales Reyes,32325
Yoro,LIBRE,Bartolo Antonio Fuentes ,35239
Yoro,LIBRE,Danilo Alexander Tejada Murillo,34646
Yoro,LIBRE,Hector Antonio Mejia ,31653
Yoro,LIBRE,Irma Aida Reyes Coello,36698
Yoro,LIBRE,Jairo Miguel Hernandez ,33876
Yoro,LIBRE,Mercedes Emilia Avila Panchame,33937
Yoro,LIBRE,Paula Crecencia Duran Soto,35921
Yoro,LIBRE,Santos Alfonzo Vasquez Sanchez,34454
Yoro,Liberal,Daniela  Marquez Rivera,24017
Yoro,Liberal,Delmi Graciela Rivera Guevara,25244
Yoro,Liberal,Enrique Orlando Cano Palma,20303
Yoro,Liberal,Jose Vivian Portillo Ramirez,30184
Yoro,Liberal,Maria Luisa Pineda Hernandez,25162
Yoro,Liberal,Maritza Janeth Varela Martinez,28512
Yoro,Liberal,Ricardo Arturo Cruz Navarro,27843
Yoro,Liberal,Roberto Antonio Orellana Velasquez,23659
Yoro,Liberal,Sergio Armando Delgado ,22358
Yoro,Nacional,Diana Patricia Urbina Soto,44161
Yoro,Nacional,Jeffrey Alexander Flores Chavarria,41297
Yoro,Nacional,Juan Carlos Molina Puerto,40415
Yoro,Nacional,Milton Jesus Puerto Oseguera,44688
Yoro,Nacional,Navil Enrique Hawit Valle,34766
Yoro,Nacional,Oscar Remberto Hawit Garcia,36562
Yoro,Nacional,Rene Alfredo Chacon Flores,33849
Yoro,Nacional,Ricardo Arturo Bermudez Wills,39093
Yoro,Nacional,Victor Manuel Fonseca Flores,36025
Yoro,PAC,Angel Roberto Rivera Pacheco,12807
Yoro,PAC,Claudia Lorena Flores Lopez,11298
Yoro,PAC,Dennis Johan Collins Orellana,11421
Yoro,PAC,Eugenia  Turcios Garcia,10585
Yoro,PAC,Fausto Ricardo Carias Mahchi,11006
Yoro,PAC,Jorge Adalid Diaz Martell,12269
Yoro,PAC,Liberato  Madrid Castro,12748
Yoro,PAC,Marlene Yesenia Izaguirre Vasquez,11774
Yoro,PAC,Silvia Mariel Ponce Ferrufino,11247
Yoro,PAP,Arlene Josaary Rea¿os Linares,494
Yoro,PAP,Dilcia Rosibel Lopez Velasquez,253
Yoro,PAP,Evelyn Jeanneth Archaga Vasquez,304
Yoro,PAP,Francisco Yalil Martinez Gabrie,244
Yoro,PAP,Higda Amparo Andino Guevara,551
Yoro,PAP,Jerson Omar Velasquez Villatoro,665
Yoro,PAP,Miguel Angel Garcia Fajardo,459
Yoro,PAP,Nelson David Leiva Banegas,428
Yoro,PAP,Santos Faustino Padilla Figueroa,200
Yoro,PINU,Alejandro  Galvez Cano,1048
Yoro,PINU,Blanca Aracely Matute Sanchez,820
Yoro,PINU,Jorge Alberto Andino Garcia,600
Yoro,PINU,Jose David Cruz Cruz,1076
Yoro,PINU,Maria  Contreras Licona,608
Yoro,PINU,Maria Del Carmen Bonilla Martinez,750
Yoro,PINU,Maria Marlenis Yanez Maldonado,796
Yoro,PINU,Oscar Mardoqueo Lopez Martinez,707
Yoro,PINU,Rafael  Sandoval Bardales,1094
Yoro,UD,Cesar David Adolfo Ham Pe¿a,9673
Yoro,UD,Hector Dario Martinez Soliz,5248
Yoro,UD,Hipolita Graciela Rodriguez ,5492
Yoro,UD,Marlon Edgardo Valeriano Chandia,3452
Yoro,UD,Mirian Lizzeth Urbina Najera,4914
Yoro,UD,Nerida Maritza Yanes Antunez,4393
Yoro,UD,Prisila  Alvarado Euceda,4875
Yoro,UD,Rafael  Sibrian Guerra,4166
Yoro,UD,Santos Paulino Cantillano Velasquez,5492
